2026-04-10 16:14:24 | GET | meus-planos-api/categorias
2026-04-10 16:14:29 | GET | meus-planos-api/categorias
2026-04-10 16:14:29 | GET | meus-planos-api/itens
2026-04-10 16:15:02 | OPTIONS | meus-planos-api/itens/5
2026-04-10 16:15:02 | PUT | meus-planos-api/itens/5
2026-04-10 16:17:15 | GET | meus-planos-api/itens
2026-04-10 16:17:15 | GET | meus-planos-api/categorias
2026-04-10 16:17:19 | POST | meus-planos-api/itens/5
2026-04-10 16:17:23 | GET | meus-planos-api/itens
2026-04-10 16:17:23 | GET | meus-planos-api/categorias
2026-04-10 16:17:25 | POST | meus-planos-api/itens/5
2026-04-10 16:19:01 | GET | meus-planos-api/categorias
2026-04-10 16:19:05 | GET | meus-planos-api/itens
rias
2026-04-10 16:19:08 | OPTIONS | meus-planos-api/itens/5
2026-04-10 16:19:08 | PUT | meus-planos-api/itens/5
2026-04-10 16:19:25 | GET | meus-planos-api/categorias
2026-04-10 16:19:25 | GET | meus-planos-api/itens
2026-04-10 16:20:17 | GET | meus-planos-api/itens
2026-04-10 16:20:17 | GET | meus-planos-api/categorias
2026-04-10 16:21:25 | GET | meus-planos-api/itens
2026-04-10 16:21:25 | GET | meus-planos-api/categorias
2026-04-10 16:21:29 | OPTIONS | meus-planos-api/itens/5
2026-04-10 16:21:29 | PUT | meus-planos-api/itens/5
2026-04-10 16:24:01 | GET | meus-planos-api/itens
2026-04-10 16:24:01 | GET | meus-planos-api/categorias
2026-04-10 16:24:05 | OPTIONS | meus-planos-api/itens/5
2026-04-10 16:24:05 | POST | meus-planos-api/itens/5
2026-04-10 16:24:29 | OPTIONS | meus-planos-api/itens/5
2026-04-10 16:24:29 | POST | meus-planos-api/itens/5
2026-04-10 16:24:30 | GET | meus-planos-api/itens
2026-04-10 16:24:30 | GET | meus-planos-api/categorias
2026-04-10 16:24:39 | GET | meus-planos-api/categorias
2026-04-10 16:24:46 | OPTIONS | meus-planos-api/categorias
2026-04-10 16:24:46 | POST | meus-planos-api/categorias
