31-03-2026 17:35:48 | OPTIONS | cafeteria-api/categorias/5
31-03-2026 17:35:48 | DELETE | cafeteria-api/categorias/5
31-03-2026 17:35:48 | GET | cafeteria-api/categorias
31-03-2026 17:35:49 | OPTIONS | cafeteria-api/categorias/6
31-03-2026 17:35:49 | DELETE | cafeteria-api/categorias/6
31-03-2026 17:35:49 | GET | cafeteria-api/categorias
31-03-2026 17:35:50 | OPTIONS | cafeteria-api/categorias/8
31-03-2026 17:35:50 | DELETE | cafeteria-api/categorias/8
31-03-2026 17:35:50 | GET | cafeteria-api/categorias
31-03-2026 17:35:51 | GET | cafeteria-api/categorias
31-03-2026 17:36:35 | GET | cafeteria-api/categorias
31-03-2026 17:38:13 | GET | cafeteria-api/categorias
31-03-2026 17:38:58 | GET | cafeteria-api/categorias
31-03-2026 18:37:11 | GET | cafeteria-api/categorias
31-03-2026 18:37:52 | GET | cafeteria-api/categorias
31-03-2026 18:37:52 | GET | cafeteria-api/categorias
31-03-2026 18:41:28 | GET | cafeteria-api/categorias
31-03-2026 18:42:56 | GET | cafeteria-api/categorias
31-03-2026 18:42:58 | GET | cafeteria-api/categorias
31-03-2026 18:44:23 | GET | cafeteria-api/categorias
31-03-2026 18:44:47 | GET | cafeteria-api/categorias
31-03-2026 18:44:50 | GET | cafeteria-api/categorias
31-03-2026 18:50:03 | GET | cafeteria-api/categorias
31-03-2026 18:50:10 | GET | cafeteria-api/categorias
31-03-2026 18:50:12 | POST | cafeteria-api/categorias
31-03-2026 18:50:12 | GET | cafeteria-api/categorias
31-03-2026 18:50:14 | OPTIONS | cafeteria-api/categorias/9
31-03-2026 18:50:14 | DELETE | cafeteria-api/categorias/9
31-03-2026 18:50:14 | GET | cafeteria-api/categorias
31-03-2026 18:50:16 | POST | cafeteria-api/categorias
31-03-2026 18:50:16 | GET | cafeteria-api/categorias
31-03-2026 18:50:17 | OPTIONS | cafeteria-api/categorias/10
31-03-2026 18:50:17 | DELETE | cafeteria-api/categorias/10
31-03-2026 18:50:17 | GET | cafeteria-api/categorias
31-03-2026 18:50:29 | POST | cafeteria-api/categorias
31-03-2026 18:50:29 | GET | cafeteria-api/categorias
31-03-2026 18:50:41 | POST | cafeteria-api/categorias
31-03-2026 18:50:41 | GET | cafeteria-api/categorias
31-03-2026 18:50:49 | GET | cafeteria-api/categorias
31-03-2026 18:51:14 | GET | cafeteria-api/categorias
31-03-2026 18:51:18 | GET | cafeteria-api/categorias
31-03-2026 18:51:22 | GET | cafeteria-api/categorias
31-03-2026 18:51:23 | GET | cafeteria-api/categorias
31-03-2026 18:55:47 | GET | cafeteria-api/categorias
31-03-2026 18:55:51 | POST | cafeteria-api/categorias
31-03-2026 18:55:51 | GET | cafeteria-api/categorias
31-03-2026 18:55:53 | OPTIONS | cafeteria-api/categorias/13
31-03-2026 18:55:53 | DELETE | cafeteria-api/categorias/13
31-03-2026 18:55:53 | GET | cafeteria-api/categorias
31-03-2026 19:12:45 | GET | Cafeteria-api/produtos
31-03-2026 19:12:54 | GET | Cafeteria-api/produtos
31-03-2026 19:12:55 | GET | Cafeteria-api/produtos
31-03-2026 19:12:55 | GET | Cafeteria-api/produtos
31-03-2026 19:13:11 | GET | Cafeteria-api/produtos
31-03-2026 19:14:43 | GET | Cafeteria-api/produtos
31-03-2026 19:39:53 | GET | Cafeteria-api/produtos
31-03-2026 19:46:04 | GET | Cafeteria-api/produtos
31-03-2026 19:46:10 | POST | Cafeteria-api/produtos
31-03-2026 19:53:50 | POST | Cafeteria-api/produtos
31-03-2026 19:58:04 | POST | Cafeteria-api/produtos
31-03-2026 20:00:06 | POST | Cafeteria-api/produtos
31-03-2026 20:00:07 | POST | Cafeteria-api/produtos
31-03-2026 20:00:07 | POST | Cafeteria-api/produtos
31-03-2026 20:00:08 | POST | Cafeteria-api/produtos
31-03-2026 20:00:08 | POST | Cafeteria-api/produtos
31-03-2026 20:02:06 | POST | Cafeteria-api/produtos
31-03-2026 20:02:50 | POST | Cafeteria-api/produtos
31-03-2026 20:02:51 | POST | Cafeteria-api/produtos
31-03-2026 20:06:30 | POST | Cafeteria-api/produtos
31-03-2026 20:14:34 | GET | cafeteria-api/categorias
31-03-2026 20:14:39 | GET | cafeteria-api/produtos
31-03-2026 20:15:07 | GET | cafeteria-api/produtos
31-03-2026 20:22:53 | GET | cafeteria-api/produtos
31-03-2026 20:23:00 | OPTIONS | cafeteria-api/produtos/1
31-03-2026 20:23:00 | DELETE | cafeteria-api/produtos/1
31-03-2026 20:23:01 | OPTIONS | cafeteria-api/produtos/2
31-03-2026 20:23:01 | DELETE | cafeteria-api/produtos/2
31-03-2026 20:23:01 | DELETE | cafeteria-api/produtos/2
31-03-2026 20:23:02 | DELETE | cafeteria-api/produtos/2
31-03-2026 20:25:42 | GET | cafeteria-api/produtos
31-03-2026 20:25:42 | GET | cafeteria-api/produtos
31-03-2026 20:25:44 | GET | cafeteria-api/produtos
31-03-2026 20:25:51 | GET | cafeteria-api/produtos
31-03-2026 20:25:52 | GET | cafeteria-api/produtos
31-03-2026 20:25:57 | GET | cafeteria-api/categorias
31-03-2026 20:26:00 | GET | cafeteria-api/produtos
31-03-2026 20:26:10 | GET | cafeteria-api/categorias
31-03-2026 20:26:11 | POST | cafeteria-api/categorias
31-03-2026 20:26:11 | GET | cafeteria-api/categorias
31-03-2026 20:26:17 | POST | cafeteria-api/categorias
31-03-2026 20:26:17 | GET | cafeteria-api/categorias
31-03-2026 20:26:19 | OPTIONS | cafeteria-api/categorias/14
31-03-2026 20:26:19 | DELETE | cafeteria-api/categorias/14
31-03-2026 20:26:19 | GET | cafeteria-api/categorias
31-03-2026 20:26:20 | GET | cafeteria-api/produtos
31-03-2026 20:27:58 | GET | cafeteria-api/produtos
31-03-2026 20:29:15 | GET | cafeteria-api/produtos
31-03-2026 20:49:39 | GET | cafeteria-api/produtos
31-03-2026 20:50:32 | POST | Cafeteria-api/produtos
31-03-2026 20:50:37 | GET | cafeteria-api/produtos
31-03-2026 20:50:42 | OPTIONS | cafeteria-api/produtos/5
31-03-2026 20:50:42 | DELETE | cafeteria-api/produtos/5
31-03-2026 20:50:42 | DELETE | cafeteria-api/produtos/5
07-04-2026 12:44:30 | GET | cafeteria-api/categorias
07-04-2026 12:44:33 | GET | cafeteria-api/categorias
07-04-2026 12:44:33 | GET | cafeteria-api/produtos
07-04-2026 12:45:00 | GET | cafeteria-api/produtos
07-04-2026 12:45:11 | POST | Cafeteria-api/produtos
07-04-2026 12:45:14 | GET | cafeteria-api/produtos
07-04-2026 12:45:16 | OPTIONS | cafeteria-api/produtos/6
07-04-2026 12:45:16 | DELETE | cafeteria-api/produtos/6
07-04-2026 12:45:16 | GET | cafeteria-api/produtos
